,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,9.0,"上限価格
Giá trên","希望する最高予算を入力するためのテキストボックス。
Ô nhập dùng để nhập mức ngân sách tối đa mong muốn.",テキストボックス,"""数値のみ入力可能
Chỉ cho phép nhập số

例：200000""","ユーザーがクリックすると入力可能になる。
Khi người dùng nhấp vào, cho phép nhập dữ liệu.

入力された値は検索条件の上限として使用される。
Giá trị nhập vào sẽ được dùng làm mức giá cao nhất khi tìm kiếm.

数値以外はエラー表示。","ラベル：「上限価格」
Nhãn: “Giá trên”

プレースホルダー：「例：500000」
Có thể hiển thị đơn vị “VND”",,,,,,
,,,,,,,,,,,,,,,,,10.0,"検索条件：料理


Điều kiện: Món ăn","料理のジャンル・種類を指定する選択欄
Ô chọn loại món ăn/thể loại ẩm thực",ドロップダウン,"選択肢：料理名・ジャンル
Lựa chọn: Tên món/loại món (VD: Phở, Bún chả...)","クリック時、料理カテゴリーのドロップダウンリストを表示する。
Khi nhấp vào, hiển thị danh sách thả xuống các danh mục món ăn","ラベル：「料理 / Món ăn」
Nhãn: ""料理 / Món ăn""",,,,,,
,,,,,,,,,,,,,,,,,11.0,"セクションタイトル
Tiêu đề phần","「おすすめのレストラン」というテキスト
Dòng chữ ""おすすめのレストラン / Nhà hàng được đề xuất""",ラベル,-,-,-,,,,,,
,,,,,,,,,,,,,,,,,12.0,"フィルターボタン
Nút Lọc","おすすめセクションの右側にあるボタン
Nút ""フィルター / Lọc"" ở bên phải danh sách đề xuất",ボタン,-,"クリック時、フィルター条件のモーダル/ドロップダウンを表示する。
Khi nhấp vào, hiển thị modal/dropdown các điều kiện lọc nâng cao.",-,,,,,,
,,,,,,,,,,,,,,,,,13.0,"レストランカード
Thẻ nhà hàng","各レストランの情報（画像、名前、評価など）を含むブロック
Khối chứa thông tin nhà hàng (ảnh, tên, đánh giá...)",カード,-,"クリック時、該当レストランの「詳細画面」へ遷移する。条件に合致する店舗がない場合は、「該当する店舗が見つかりませんでした」というメッセージを画面に表示する。
Khi nhấp vào, sẽ chuyển hướng đến ""Màn hình chi tiết"" của nhà hàng tương ứng. Trường hợp không có nhà hàng nào phù hợp với điều kiện tìm kiếm, hiển thị thông báo ""Không tìm thấy nhà hàng phù hợp"" trên màn hình.",-,,,,,,
,,,,,,,,,,,,,,,,,14.0,"お気に入りボタン
Nút Yêu thích","レストラン画像の右上にあるハートアイコン
Biểu tượng trái tim ở góc trên bên phải ảnh nhà hàng",ボタン,-,"クリック時、お気に入りリストに追加・削除する（アイコンの見た目が変化する）。
Khi nhấp vào, thêm/xóa khỏi danh sách yêu thích (giao diện icon sẽ thay đổi).","要ログイン（未ログイン時はログイン画面へ誘導）
Yêu cầu đăng nhập (Chưa đăng nhập sẽ chuyển đến màn hình Login)",,,,,,
,,,,,,,,,,,,,,,,,15.0,"言語切り替えトグル
Nút chuyển ngôn ngữ","システムの表示言語を変更
Thay đổi ngôn ngữ hiển thị của hệ thống (nằm cạnh Logo)",トグルボタン,"JP / VN
(Tiếng Nhật / Tiếng Việt)","クリック時、選択された言語にシステム全体のテキスト表記を切り替える。状態をローカルストレージに保持する。
Khi click, cập nhật toàn bộ text trên hệ thống theo ngôn ngữ được chọn. Lưu trạng thái này vào Local Storage/Session.","デフォルトは「JP」
Mặc định là ""JP""",,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,画面ID,,2.0,,画面タイトル,,"店舗詳細・メニュー画面
(Màn hình Chi tiết quán & Thực đơn)",,,,,,ロールID,,"1, 3",,画面項目,,,,,,,,,,,,
,画面レイアウト・デザイン,,,,,,,,,,,,,,,,No,項目名称,項目説明,分類,選択肢・入力値,処理内容,備考,,,,,,
,,,,,,,,,,,,,,,,,1.0,"ヘッダーロゴ
Logo Header","サイト左上の「JVDine」ロゴ
Logo ""JVDine"" ở góc trên bên trái trang web",画像,-,"
画面初期表示時にロゴを表示。クリック時ホーム画面へ遷移。画像取得失敗時は代替画像表示。                                                            Khi load màn hình hiển thị logo, click về Home, lỗi ảnh → ảnh default
","すべてのデザイン情報：Link
Mọi thông tin Design: Link",,,,,,
,,,,,,,,,,,,,,,,,2.0,"ログインリンク
Link Đăng nhập","ヘッダー右側の「ログイン / Đăng nhập」リンク
Dòng chữ ""ログイン / Đăng nhập"" ở bên phải header",ボタン,-,"クリック時、「ログイン画面」へ遷移する。
Khi nhấp vào, sẽ chuyển hướng đến ""Màn hình đăng nhập"".","ログインしていない場合、「ログイン」ボタンを表示する。ログイン後は「プロフィール」に変更され、ユーザーの個人情報画面へ遷移する。
Hiển thị nút ""Đăng nhập"" khi chưa đăng nhập. Sau khi đăng nhập, nút sẽ chuyển thành ""Hồ sơ cá nhân"" và dẫn đến màn hình thông tin cá nhân.",,,,,,
,,,,,,,,,,,,,,,,,3.0,"登録ボタン
Nút Đăng ký","ヘッダー右端の赤い「登録 / Đăng ký」ボタン
Nút màu đỏ ""登録 / Đăng ký"" ở góc phải ngoài cùng header",ボタン,-,"クリック時、「サインアップ画面」へ遷移する。
Khi nhấp vào, sẽ chuyển hướng đến ""Màn hình đăng ký"".","ログインしていない場合、「登録」ボタンを表示する。ログイン後は「ログアウト」に変更される。
Hiển thị nút ""Đăng ký"" khi chưa đăng nhập. Sau khi đăng nhập, nút sẽ chuyển thành ""Đăng xuất"".",,,,,,
,,,,,,,,,,,,,,,,,4.0,"カバー画像
Ảnh bìa","レストランの大きな写真
Ảnh lớn đại diện cho nhà hàng (bát phở)",画像,-,-,-,,,,,,
,,,,,,,,,,,,,,,,,5.0,"お気に入りボタン
Nút Yêu thích","画像右上のハートアイコン
Biểu tượng trái tim ở góc trên bên phải ảnh",ボタン,-,"クリック時、お気に入りリストに追加・削除する。
Khi nhấp vào, thêm/xóa khỏi danh sách yêu thích.","要ログイン
Yêu cầu đăng nhập",,,,,,
,,,,,,,,,,,,,,,,,6.0,"レストラン名と説明
Tên & Mô tả","「ハノイフォー」などのタイトルと説明文
Tên nhà hàng ""Phở Hà Nội"" và đoạn mô tả",ラベル,-,-,-,,,,,,
,,,,,,,,,,,,,,,,,7.0,"評価バッジ
Huy hiệu đánh giá","星マークと点数「4.5 (128件)」
Biểu tượng sao và điểm số ""4.5 (128件)""",ラベル,-,"クリック時、「レビュー」タブへスクロールし切り替える。
Khi nhấp vào, cuộn xuống và chuyển sang tab ""Đánh giá"".",-,,,,,,
,,,,,,,,,,,,,,,,,8.0,"店舗基本情報
Thông tin cơ bản","住所、電話番号、営業時間、価格帯
Địa chỉ, số điện thoại, giờ mở cửa, khoảng giá",ラベル,-,-,"アイコン付き
Có kèm icon minh họa",,,,,,
,,,,,,,,,,,,,,,,,9.0,"レビュー記入ボタン
Nút Viết đánh giá","赤い「Write a Review」ボタン
Nút màu đỏ ""Write a Review""",ボタン,-,"クリック時、「レビュー投稿」モーダルを表示する。未ログインの場合は、ログイン画面へ遷移する。
Khi nhấp vào, popup/modal ""Viết đánh giá"" sẽ hiển thị. Trường hợp người dùng chưa đăng nhập, hệ thống sẽ chuyển hướng sang trang đăng nhập.","要ログイン
Yêu cầu đăng nhập",,,,,,
,,,,,,,,,,,,,,,,,10.0,"タブナビゲーション
Thanh điều hướng Tab","メニュー、レビュー、詳細情報の切り替えタブ
Các tab Menu, Đánh giá, Thông tin chi tiết",タブ,"選択肢：メニュー、レビュー、詳細情報
Lựa chọn: Menu, Đánh giá, Chi tiết","クリック時、対応する下部のコンテンツエリアを表示する。
Khi nhấp vào, hiển thị nội dung tương ứng ở bên dưới.","アクティブなタブは赤線で強調
Tab đang chọn được gạch chân đỏ",,,,,,
,,,,,,,,,,,,,,,,,11.0,"メニューアイテム
Thẻ món ăn (Menu)","各料理名、説明、価格を含むカード
Thẻ chứa tên món, mô tả, và giá tiền",カード,-,"各メニューごとにカード形式で表示する。原材料に関する注意事項がある場合は、カード内の見やすい位置に警告文を表示する。
Hiển thị dưới dạng thẻ cho từng món ăn. Nếu có lưu ý về nguyên liệu, hệ thống sẽ hiển thị nội dung cảnh báo ở vị trí dễ nhìn trong thẻ món ăn.","各メニューごとにカード形式で表示する。原材料に関する注意事項がある場合は、カード内の見やすい位置に警告文を表示する。辛い料理の場合は、唐辛子アイコンで辛さを表示する。
Hiển thị dưới dạng thẻ cho từng món ăn. Nếu có lưu ý về nguyên liệu, hệ thống sẽ hiển thị nội dung cảnh báo ở vị trí dễ nhìn trong thẻ món ăn. Với các món cay, hệ thống hiển thị biểu tượng quả ớt để thể hiện mức độ cay.",,,,,,
,,,,,,,,,,,,,,,,,12.0,"言語切り替えトグル
Nút chuyển ngôn ngữ","システムの表示言語を変更
Thay đổi ngôn ngữ hiển thị của hệ thống (nằm cạnh Logo)",トグルボタン,"JP / VN
(Tiếng Nhật / Tiếng Việt)","クリック時、選択された言語にシステム全体のテキスト表記を切り替える。状態をローカルストレージに保持する。
Khi click, cập nhật toàn bộ text trên hệ thống theo ngôn ngữ được chọn. Lưu trạng thái này vào Local Storage/Session.","デフォルトは「JP」
Mặc định là ""JP""",,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,画面ID,,3.0,,画面タイトル,,"レビュー投稿画面
(Màn hình Viết đánh giá)",,,,,,ロールID,,1.0,,画面項目,,,,,,,,,,,,
,画面レイアウト・デザイン,,,,,,,,,,,,,,,,No,項目名称,項目説明,分類,選択肢・入力値,処理内容,備考,,,,,,
,,,,,,,,,,,,,,,,,1.0,"ヘッダーロゴ
Logo Header","サイト左上の「JVDine」ロゴ
Logo ""JVDine"" ở góc trên bên trái trang web",画像,-,"
画面初期表示時にロゴを表示。クリック時ホーム画面へ遷移。画像取得失敗時は代替画像表示。                                                            Khi load màn hình hiển thị logo, click về Home, lỗi ảnh → ảnh default
","すべてのデザイン情報：Link
Mọi thông tin Design: Link",,,,,,
,,,,,,,,,,,,,,,,,2.0,"ログインリンク
Link Đăng nhập","ヘッダー右側の「ログイン / Đăng nhập」リンク
Dòng chữ ""ログイン / Đăng nhập"" ở bên phải header",ボタン,-,"クリック時、「ログイン画面」へ遷移する。
Khi nhấp vào, sẽ chuyển hướng đến ""Màn hình đăng nhập"".",-,,,,,,
,,,,,,,,,,,,,,,,,3.0,"登録ボタン
Nút Đăng ký","ヘッダー右端の赤い「登録 / Đăng ký」ボタン
Nút màu đỏ ""登録 / Đăng ký"" ở góc phải ngoài cùng header",ボタン,-,"クリック時、「サインアップ画面」へ遷移する。
Khi nhấp vào, sẽ chuyển hướng đến ""Màn hình đăng ký"".",-,,,,,,
,,,,,,,,,,,,,,,,,4.0,"モーダルタイトル
Tiêu đề modal","レビュー投稿モーダルのタイトル
Tiêu đề của modal đăng đánh giá",ラベル,-,"「レビューを書く / Viết đánh giá」を静的表示。
Hiển thị tĩnh ""レビューを書く / Viết đánh giá"".",-,,,,,,
,,,,,,,,,,,,,,,,,5.0,"サブタイトル
Phụ đề","タイトル下の説明文
Văn bản mô tả dưới tiêu đề",ラベル,,"「あなたの体験を他のお客様と共有しましょう / Chia sẻ trải nghiệm của bạn với khách hàng khác」を静的表示。
Hiển thị tĩnh ""あなたの体験を他のお客様と共有しましょう / Chia sẻ trải nghiệm của bạn với khách hàng khác"".",-,,,,,,
,,,,,,,,,,,,,,,,,6.0,"評価入力（星）
Nhập đánh giá (sao)","5段階評価を選択するエリア
Khu vực chọn đánh giá 5 mức",レーティング,"選択肢：1〜5の整数（星の数）
Lựa chọn: Từ 1 đến 5 (số sao)","クリック/ホバー時、星の色を切り替え、評価値をセットする。
Khi nhấp/hover, đổi màu sao và ghi nhận giá trị đánh giá.","デフォルトは未選択（0.0）。フッターガイド：Vui lòng chọn đánh giá
Mặc định chưa chọn (0.0). Hướng dẫn footer: Vui lòng chọn đánh giá",,,,,,
,,,,,,,,,,,,,,,,,7.0,"レビュー本文入力
Nhập nội dung đánh giá","レビューの内容を入力するテキストエリア
Khu vực văn bản nhập nội dung đánh giá",テキストボックス,"入力値：任意のテキスト（最大500文字）
Giá trị nhập: Văn bản (Tối đa 500 ký tự)","入力中、左下の文字数カウンター（0 / 500）をリアルタイムで更新する。
Khi đang nhập, cập nhật bộ đếm ký tự (0 / 500) theo thời gian thực.","プレースホルダ：「料理の味、サービス、雰囲気などについて教えてください... / Hãy cho biết về món ăn, dịch vụ, không khí...」。最大500文字。
Placeholder: ""料理の味, món ăn..."". Tối đa 500 ký tự.",,,,,,
,,,,,,,,,,,,,,,,,8.0,"写真追加エリア
Khu vực thêm ảnh","写真をアップロードするエリア（任意）
Khu vực tải ảnh lên (tùy chọn)",ファイルアップロード,"選択肢：ファイル選択ダイアログを表示
Lựa chọn: Hiển thị hộp thoại chọn tập tin","クリック時、ファイル選択ダイアログを表示する。選択されたファイルのプレビューとファイル情報を表示する。
Khi nhấp vào, hiển thị hộp thoại chọn tập tin. Hiển thị xem trước và thông tin tập tin đã chọn.","任意。許可形式：PNG, JPG, GIF。最大5MB。
Tùy chọn. Định dạng được phép: PNG, JPG, GIF. Tối đa 5MB.",,,,,,
,,,,,,,,,,,,,,,,,9.0,"キャンセルボタン
Nút Hủy","投稿をキャンセルしモーダルを閉じるボタン
Nút hủy đăng và đóng modal",ボタン,-,"クリック時、モーダルを閉じ、入力内容を破棄する。
Khi nhấp vào, đóng modal và hủy bỏ nội dung nhập.","灰色の縁取りのある白いボタン

Nút nền trắng, viền xám",,,,,,
,,,,,,,,,,,,,,,,,10.0,"投稿するボタン
Nút Đăng đánh giá","レビューを投稿するボタン
Nút để đăng đánh giá",ボタン,-,"クリック時、必須項目（評価、本文）のバリデーションを行い、サーバーへ送信する。投稿完了後、モーダルを閉じ、詳細画面（または一覧）へ戻る。
Khi nhấp vào, thực hiện kiểm tra các mục bắt buộc (đánh giá, nội dung) và gửi đến máy chủ. Sau khi đăng hoàn tất, đóng modal và quay lại màn hình chi tiết (hoặc danh sách).","デフォルトは無効（Disabled）状態。必須項目が入力された場合、有効化する。 ảnh mẫu cho thấy trạng thái mờ

Mặc định ở trạng thái vô hiệu hóa. Được kích hoạt khi các mục bắt buộc được nhập. Ảnh mẫu cho thấy trạng thái mờ.",,,,,,
,,,,,,,,,,,,,,,,,11.0,"ガイドラインタイトル
Tiêu đề hướng dẫn","ガイドラインエリアのタイトル
Tiêu đề của khu vực hướng dẫn",ラベル,,"「レビューガイドライン / Hướng dẫn đánh giá」を静的表示。
Hiển thị tĩnh ""レビューガイドライン / Hướng dẫn đánh giá"".",-,,,,,,
,,,,,,,,,,,,,,,,,12.0,"ガイドラインリスト
Danh sách hướng dẫn","ガイドラインの各項目
Các mục của hướng dẫn",ラベル,-,"4つの各項目（具体的な体験を共有してください... / Chia sẻ trải nghiệm cụ thể...）を静的表示。
Hiển thị tĩnh 4 mục (具体的な体験を共有してください... / Chia sẻ trải nghiệm cụ thể...).",-,,,,,,
,,,,,,,,,,,,,,,,,13.0,"言語切り替えトグル
Nút chuyển ngôn ngữ","システムの表示言語を変更
Thay đổi ngôn ngữ hiển thị của hệ thống (nằm cạnh Logo)",トグルボタン,"JP / VN
(Tiếng Nhật / Tiếng Việt)","クリック時、選択された言語にシステム全体のテキスト表記を切り替える。状態をローカルストレージに保持する。
Khi click, cập nhật toàn bộ text trên hệ thống theo ngôn ngữ được chọn. Lưu trạng thái này vào Local Storage/Session.","デフォルトは「JP」

Mặc định là ""JP""",,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,画面ID,,4.0,,画面タイトル,,"管理者ダッシュボード画面 (Web)
(Màn hình Dashboard Admin - Web)",,,,,,ロールID,,2.0,,画面項目,,,,,,,,,,,,
,画面レイアウト・デザイン,,,,,,,,,,,,,,,,No,項目名称,項目説明,分類,選択肢・入力値,処理内容,備考,,,,,,
,,,,,,,,,,,,,,,,,1.0,"ヘッダーロゴ
Logo Header","サイト左上の「JVDine」ロゴ
Logo ""JVDine"" ở góc trên bên trái trang web",画像,-,"
画面初期表示時にロゴを表示。クリック時ホーム画面へ遷移。画像取得失敗時は代替画像表示。                                                            Khi load màn hình hiển thị logo, click về Home, lỗi ảnh → ảnh default
","すべてのデザイン情報：Link
Mọi thông tin Design: Link",,,,,,
,,,,,,,,,,,,,,,,,2.0,"ヘッダーナビゲーション
Điều hướng Header","「ダッシュボード」等の各機能へのリンク
Các link đến Dashboard, Sửa quán, Khuyến mãi",リンク,"選択肢：
・ダッシュボード
・店舗編集
・キャンペーン
Tùy chọn:
• Dashboard
• Sửa quán
• Khuyến mãi","クリック時、対応する管理画面へ遷移する。
Khi nhấp vào, chuyển hướng đến màn hình quản lý tương ứng.","現在のページ（ダッシュボード）は太字（アクティブ状態）で表示。

Trang hiện tại (Dashboard) in đậm.",,,,,,
,,,,,,,,,,,,,,,,,3.0,"ログアウトボタン
Nút Đăng xuất","右端の「ログアウト / Đăng xuất」ボタン
Nút ""Đăng xuất"" ở góc phải",ボタン,-,"クリック時、セッションを破棄し、一般ユーザー向けのホームページまたはログイン画面へ遷移する。
Khi nhấp vào, hủy session và chuyển hướng ra trang chủ hoặc trang Login.","ログアウト確認モーダルを出しても良い。

Có thể thêm popup xác nhận.",,,,,,
,,,,,,,,,,,,,,,,,4.0,"ページタイトル
Tiêu đề trang","「ダッシュボード / Dashboard」と説明文
Tiêu đề ""Dashboard"" và văn bản mô tả",ラベル,-,"静的表示。
Hiển thị tĩnh.",-,,,,,,
,,,,,,,,,,,,,,,,,5.0,"KPIカード（4種）
Thẻ KPI (4 loại)","総閲覧数、レビュー数、平均評価、お気に入り数の統計パネル
Panel thống kê Lượt xem, Đánh giá, Điểm TB, Yêu thích",カード,-,"ページ読み込み時、DBから最新の統計データを取得し表示する。前月比の増減を計算して色分け表示する。
Lấy dữ liệu thống kê từ DB. Tính và hiển thị mức tăng/giảm so với tháng trước.","上昇（＋）は緑色、下降（ー）は赤色で表示。

Tăng (+) màu xanh, giảm (-) màu đỏ.",,,,,,
,,,,,,,,,,,,,,,,,6.0,"セクションヘッダー
Tiêu đề phần","「最新のレビュー」
Tiêu đề ""Đánh giá gần đây""",ラベル,-,"静的表示。
Hiển thị tĩnh.",-,,,,,,
,,,,,,,,,,,,,,,,,7.0,"「すべて見る」リンク
Link ""Xem tất cả""","タイトル右側の「すべて見る / Xem tất cả」リンク
Link ""Xem tất cả"" nằm bên phải tiêu đề",リンク,-,"クリック時、レビュー管理一覧画面へ遷移する。
Khi nhấp vào, chuyển hướng đến màn hình Quản lý danh sách đánh giá.",-,,,,,,
,,,,,,,,,,,,,,,,,8.0,"レビューリスト
Danh sách Đánh giá","ユーザー名、日付、星評価、コメントのリスト
Danh sách gồm Tên, Ngày, Số sao, Bình luận",入力,-,"DBから最新のレビューを最大3件取得して表示する。
Lấy tối đa 3 đánh giá mới nhất từ DB để hiển thị.",-,,,,,,
,,,,,,,,,,,,,,,,,9.0,"セクションタイトル
Tiêu đề phần","「クイックアクション / Thao tác nhanh」テキスト
Dòng chữ ""Thao tác nhanh""",ラベル,-,"静的表示。
Hiển thị tĩnh.",-,,,,,,
,,,,,,,,,,,,,,,,,10.0,"アクションボタン群
Cụm nút Thao tác","頻繁に使う機能へのショートカットボタン（4つ）
Các nút phím tắt đến các chức năng thường dùng",ボタン,"選択肢：
1. 店舗情報を編集
2. キャンペーンを作成
3. レポートをダウンロード
4. メニューを更新
Các tùy chọn:
1. Sửa thông tin quán
2. Tạo khuyến mãi
3. Tải báo cáo
4. Cập nhật thực đơn","1, 2, 4をクリック時、それぞれの編集画面へ遷移する。3をクリック時、ダウンロード処理を実行する。
Nhấp 1, 2, 4 -> chuyển trang. Nhấp 3 -> Tải xuống báo cáo.","各ボタンは異なる背景色で視覚的に区別する。
Mỗi nút có màu nền khác nhau.",,,,,,
,,,,,,,,,,,,,,,,,11.0,"セクションタイトル
Tiêu đề phần","「パフォーマンス / Hiệu suất」テキスト
Dòng chữ ""Hiệu suất""",ラベル,-,"静的表示。
Hiển thị tĩnh.",-,,,,,,
,,,,,,,,,,,,,,,,,12.0,期間選択ボタン / Nút chọn thời gian,"表示期間を切り替えるためのボタン（例：週・月・年）
Nút dùng để chuyển đổi khoảng thời gian hiển thị dữ liệu thống kê (ví dụ:tuần / tháng / năm)",ボタン,"週、月、年
Tuần, tháng, năm","クリック時、選択した期間に応じて統計データ・グラフを再取得して表示を更新する。
Khi click, hệ thống lấy lại dữ liệu thống kê và cập nhật biểu đồ theo khoảng thời gian được chọn.","選択中のボタンは強調表示する。初期値は「週」または要件に応じて設定。
Nút đang được chọn cần được highlight. Giá trị mặc định là “tuần” hoặc theo yêu cầu hệ thống.",,,,,,
,,,,,,,,,,,,,,,,,13.0,"グラフエリア
Khu vực Biểu đồ","統計グラフを表示するエリア
Khu vực hiển thị biểu đồ thống kê",コンテナ,-,"「店舗の統計情報を視覚的に表示するエリア。
選択された期間に応じて、閲覧数・レビュー数・お気に入り数などの推移をグラフ形式で確認できる。
上部には期間切替ボタン（週 / 月 / 年）を配置し、下部に各グラフを縦並びで表示する。
各グラフにはタイトル、凡例、軸ラベル、数値目盛りを含み、データの変化を直感的に把握できる構成とする。
データが存在しない場合は、空状態メッセージまたはプレースホルダを表示する。
将来的にはホバー時のツールチップ表示、期間別データ切替、グラフの動的更新などに対応予定。

Khu vực dùng để hiển thị trực quan các thông tin thống kê của cửa hàng.
Tùy theo khoảng thời gian được chọn, người dùng có thể theo dõi xu hướng của số lượt xem, số lượng đánh giá, số lượt yêu thích... dưới dạng biểu đồ.
Phía trên khu vực này bố trí nút chuyển đổi thời gian (tuần / tháng / năm), phía dưới hiển thị các biểu đồ theo chiều dọc.
Mỗi biểu đồ gồm tiêu đề, chú thích, nhãn trục và các mốc số liệu để người dùng dễ nhận biết sự biến động dữ liệu.
Nếu chưa có dữ liệu thì hiển thị thông báo trạng thái trống hoặc placeholder.
Trong tương lai khu vực này có thể mở rộng để hỗ trợ tooltip khi rê chuột, chuyển đổi dữ liệu theo từng khoảng thời gian và cập nhật biểu đồ động.」","「現時点では分析機能そのものは未実装であり、画面上はダッシュボードの完成イメージとして静的表示する。
将来的にはAPI連携により、実際の統計データを取得して描画する想定。
グラフ領域は管理画面の中でも視認性が高いため、余白・見出し・凡例を整理し、情報を見やすく配置すること。

Hiện tại chức năng phân tích chưa được triển khai hoàn chỉnh, nên khu vực này trước mắt chỉ hiển thị tĩnh như một phần giao diện mẫu của dashboard.
Về sau có thể kết nối API để lấy dữ liệu thống kê thực tế và hiển thị dưới dạng biểu đồ.
Vì đây là khu vực có mức độ trực quan cao trong màn hình quản trị, cần bố trí khoảng cách, tiêu đề và chú thích rõ ràng để người dùng dễ theo dõi.」",,,,,,
,,,,,,,,,,,,,,,,,14.0,"言語切り替えトグル
Nút chuyển ngôn ngữ","システムの表示言語を変更
Thay đổi ngôn ngữ hiển thị của hệ thống (nằm cạnh Logo)",トグルボタン,"JP / VN
(Tiếng Nhật / Tiếng Việt)","クリック時、選択された言語にシステム全体のテキスト表記を切り替える。状態をローカルストレージに保持する。
Khi click, cập nhật toàn bộ text trên hệ thống theo ngôn ngữ được chọn. Lưu trạng thái này vào Local Storage/Session.","デフォルトは「JP」
Mặc định là ""JP""",,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
